time,ctrlMel.statePos_x,ctrlMel.statePos_y,ctrlMel.statePos_z,ctrlMel.setpointPos_x,ctrlMel.setpointPos_y,ctrlMel.setpointPos_z,ctrlMel.log_data,
13.223,0,0,0,0,0,0,0,
13.233,0,0,0,0,0,0,0,
13.243,0,0,0,0,0,0,0,
13.253,13.0423,-10.3025,-0.0331421,0,0,0,0,
13.263,13.0423,-10.3025,-0.0331421,0,0,0,0,
13.273,13.0663,-10.3215,-0.0350284,0,0,0,0,
13.283,13.0905,-10.3405,-0.0369153,0,0,0,0,
13.293,0.235095,-0.145997,0.0346481,0,0,0,0,
13.303,0.235,-0.145,0.034,0,0,0,0,
13.313,0.235015,-0.145014,0.0339993,0,0,0,0,
13.323,0.235105,-0.145099,0.0339936,0,0,0,0,
13.333,0.23515,-0.145145,0.0339911,0,0,0,0,
13.343,0.235192,-0.145192,0.0339898,0,0,0,0,
13.354,0.235234,-0.14524,0.0339896,0,0,0,0,
13.364,0.235276,-0.14529,0.0339898,0,0,0,0,
13.373,0.235069,-0.145075,0.0339974,0,0,0,0,
13.383,0.235133,-0.145656,0.0339961,0,0,0,0,
13.393,0.235167,-0.145951,0.0339959,0,0,0,0,
13.403,0.235193,-0.1456,0.0339963,0,0,0,0,
13.414,0.235214,-0.145433,0.0339969,0,0,0,0,
13.423,0.235194,-0.145273,0.0339978,0,0,0,0,
13.433,0.235233,-0.145297,0.0339972,0,0,0,0,
13.443,0.235258,-0.145318,0.0339968,0,0,0,0,
13.454,0.235277,-0.145338,0.033997,0,0,0,0,
13.463,0.235459,-0.145562,0.0339949,0,0,0,0,
13.473,0.235276,-0.145343,0.033996,0,0,0,0,
13.483,0.235305,-0.145383,0.0339946,0,0,0,0,
13.493,0.235324,-0.145409,0.0339938,0,0,0,0,
13.503,0.235336,-0.145429,0.0339937,0,0,0,0,
13.513,0.235345,-0.145444,0.033994,0,0,0,0,
13.523,0.235553,-0.145716,0.0339899,0,0,0,0,
13.533,0.235323,-0.145939,0.0339933,0,0,0,0,
13.543,0.23535,-0.14624,0.0339916,0,0,0,0,
13.554,0.235367,-0.145878,0.0339905,0,0,0,0,
13.563,0.235592,-0.145992,0.0339837,0,0,0,0,
13.573,0.235345,-0.145514,0.0339909,0,0,0,0,
13.583,0.235373,-0.146045,0.0339908,0,0,0,0,
13.593,0.235388,-0.145797,0.0339906,0,0,0,0,
13.604,0.235396,-0.145673,0.0339904,0,0,0,0,
13.613,0.235626,-0.146436,0.0339848,0,0,0,0,
13.623,0.235361,-0.145635,0.0339917,0,0,0,0,
13.633,0.235388,-0.1456,0.0339916,0,0,0,0,
13.643,0.235402,-0.145583,0.0339917,0,0,0,0,
13.653,0.235408,-0.145573,0.0339915,0,0,0,0,
13.663,0.23541,-0.145567,0.0339915,0,0,0,0,
13.673,0.235314,-0.145945,0.0339941,0,0,0,0,
13.683,0.235368,-0.145763,0.0339935,0,0,0,0,
13.693,0.235393,-0.145669,0.0339931,0,0,0,0,
13.703,0.235404,-0.14562,0.0339927,0,0,0,0,
13.713,0.235639,-0.145911,0.0339873,0,0,0,0,
13.723,0.235367,-0.145514,0.0339922,0,0,0,0,
13.733,0.235392,-0.145547,0.033991,0,0,0,0,
13.743,0.235402,-0.145561,0.0339904,0,0,0,0,
13.753,0.235406,-0.145566,0.0339902,0,0,0,0,
13.763,0.235636,-0.145886,0.0339852,0,0,0,0,
13.773,0.235365,-0.14551,0.0339921,0,0,0,0,
13.783,0.23539,-0.145545,0.0339922,0,0,0,0,
13.793,0.2354,-0.145559,0.0339924,0,0,0,0,
13.803,0.235402,-0.145564,0.0339927,0,0,0,0,
13.813,0.235624,-0.145881,0.0339898,0,0,0,0,
13.823,0.235357,-0.145506,0.0339953,0,0,0,0,
13.833,0.235381,-0.14554,0.0339966,0,0,0,0,
13.843,0.235391,-0.145554,0.0339981,0,0,0,0,
13.853,0.235393,-0.145558,0.0339994,0,0,0,0,
13.863,0.235393,-0.145558,0.034001,0,0,0,0,
13.873,0.235298,-0.145425,0.0340027,0,0,0,0,
13.883,0.235348,-0.145495,0.0340045,0,0,0,0,
13.893,0.235371,-0.145529,0.0340056,0,0,0,0,
13.903,0.235381,-0.145542,0.0340061,0,0,0,0,
13.913,0.235383,-0.145546,0.0340065,0,0,0,0,
13.923,0.235594,-0.145849,0.0340106,0,0,0,0,
13.933,0.23534,-0.145488,0.0340058,0,0,0,0,
13.943,0.235363,-0.145521,0.0340059,0,0,0,0,
13.953,0.235372,-0.145534,0.0340061,0,0,0,0,
13.963,0.235584,-0.145838,0.0340098,0,0,0,0,
13.973,0.235688,-0.145988,0.0340113,0,0,0,0,
13.983,0.235359,-0.145516,0.0340059,0,0,0,0,
13.993,0.235367,-0.145529,0.034006,0,0,0,0,
14.003,0.235369,-0.145532,0.0340058,0,0,0,0,
14.013,0.235572,-0.145822,0.0340089,0,0,0,0,
14.023,0.235327,-0.145471,0.0340051,0,0,0,0,
14.033,0.235349,-0.145501,0.0340051,0,0,0,0,
14.043,0.235358,-0.145513,0.0340045,0,0,0,0,
14.053,0.235361,-0.145517,0.0340037,0,0,0,0,
14.063,0.23536,-0.145517,0.0340026,0,0,0,0,
14.083,0.235318,-0.146095,0.0339992,0,0,0,0,
14.093,0.235339,-0.145806,0.0339987,0,0,0,0,
14.103,0.235347,-0.146173,0.0339987,0,0,0,0,
14.113,0.235543,-0.146134,0.0339982,0,0,0,0,
14.123,0.235313,-0.146053,0.0339991,0,0,0,0,
14.133,0.235335,-0.145785,0.0339997,0,0,0,0,
14.143,0.235344,-0.145646,0.0340005,0,0,0,0,
14.153,0.235346,-0.145573,0.0340006,0,0,0,0,
14.163,0.235344,-0.145532,0.0340004,0,0,0,0,
14.173,0.235527,-0.145778,0.0340012,0,0,0,0,
